story_name,story_section,question,answer1,answer2,local_or_sum,attribute,ex_or_im,ex_or_im2
master-girl,"now they wanted to go home to the father of the king 's son ; but he would not hear of the master girl 's going afoot , since he did not think this fitting for either of them . "" wait here a little while , until i fetch the seven horses that stand in my father 's stable , "" said the king 's son . "" it is not far , and i will soon be back ; for i will not have my bride come marching home afoot . "" "" no , do not do so , for when you get home to the castle you will forget me , i know that positively , "" said the master girl . "" how could i forget you ? "" said the king 's son . "" we have passed through so many hardships together , and we love each other so dearly , "" said he . he wanted to fetch the coach and seven horses at all costs , and she was to wait by the seashore . so at last the master girl had to give in . "" but when you get there , you must not take time to greet a single person . you must at once go to the stable , harness the horses , and drive back as swiftly as you can . they will all come to meet you , but you must act as though you did not see them , and must not take a single bite to eat . if you do not do that , you will make both of us unhappy , "" said she . and he promised to do as she had said .",why did the king's son want the master girl to wait until he fetched the seven horses ?,he did not think going afoot fitting for either of them .,,local,causal relationship,explicit,
master-girl,"now they wanted to go home to the father of the king 's son ; but he would not hear of the master girl 's going afoot , since he did not think this fitting for either of them . "" wait here a little while , until i fetch the seven horses that stand in my father 's stable , "" said the king 's son . "" it is not far , and i will soon be back ; for i will not have my bride come marching home afoot . "" "" no , do not do so , for when you get home to the castle you will forget me , i know that positively , "" said the master girl . "" how could i forget you ? "" said the king 's son . "" we have passed through so many hardships together , and we love each other so dearly , "" said he . he wanted to fetch the coach and seven horses at all costs , and she was to wait by the seashore . so at last the master girl had to give in . "" but when you get there , you must not take time to greet a single person . you must at once go to the stable , harness the horses , and drive back as swiftly as you can . they will all come to meet you , but you must act as though you did not see them , and must not take a single bite to eat . if you do not do that , you will make both of us unhappy , "" said she . and he promised to do as she had said .",what did the master girl think the king's son would do when he returned home ?,forget her .,,local,action,explicit,
master-girl,"now they wanted to go home to the father of the king 's son ; but he would not hear of the master girl 's going afoot , since he did not think this fitting for either of them . "" wait here a little while , until i fetch the seven horses that stand in my father 's stable , "" said the king 's son . "" it is not far , and i will soon be back ; for i will not have my bride come marching home afoot . "" "" no , do not do so , for when you get home to the castle you will forget me , i know that positively , "" said the master girl . "" how could i forget you ? "" said the king 's son . "" we have passed through so many hardships together , and we love each other so dearly , "" said he . he wanted to fetch the coach and seven horses at all costs , and she was to wait by the seashore . so at last the master girl had to give in . "" but when you get there , you must not take time to greet a single person . you must at once go to the stable , harness the horses , and drive back as swiftly as you can . they will all come to meet you , but you must act as though you did not see them , and must not take a single bite to eat . if you do not do that , you will make both of us unhappy , "" said she . and he promised to do as she had said .",why did the king's son think he would not forget the master girl ?,they had passed through so many hardships together and they love each other so dearly .,,local,causal relationship,explicit,
master-girl,"now they wanted to go home to the father of the king 's son ; but he would not hear of the master girl 's going afoot , since he did not think this fitting for either of them . "" wait here a little while , until i fetch the seven horses that stand in my father 's stable , "" said the king 's son . "" it is not far , and i will soon be back ; for i will not have my bride come marching home afoot . "" "" no , do not do so , for when you get home to the castle you will forget me , i know that positively , "" said the master girl . "" how could i forget you ? "" said the king 's son . "" we have passed through so many hardships together , and we love each other so dearly , "" said he . he wanted to fetch the coach and seven horses at all costs , and she was to wait by the seashore . so at last the master girl had to give in . "" but when you get there , you must not take time to greet a single person . you must at once go to the stable , harness the horses , and drive back as swiftly as you can . they will all come to meet you , but you must act as though you did not see them , and must not take a single bite to eat . if you do not do that , you will make both of us unhappy , "" said she . and he promised to do as she had said .",what must the king's son do when people come to meet him ?,act as though he did not see them .,,local,action,explicit,
master-girl,"but when he got home to the castle , one of his brothers was just getting married , and the bride and all the guests were already there . they all crowded around him and asked him this , and asked him that , and wanted to lead him in . but he acted as though he saw none of them , led out the horses , and began to put them to the coach . and since they could by no manner of means induce him to come into the castle , they came out with food and drink , and offered him the best of all that had been prepared for the wedding feast . but the king 's son would taste nothing , and only made haste in order to get away . yet , finally , the bride 's sister rolled an apple over to him across the court - yard : "" and if you will touch nothing else , then at least you might take a bite of the apple , for you must be hungry and thirsty after your long journey , "" said she , and he took the apple and bit into it . but no sooner did he have the bit of apple in his mouth than he had forgotten the master girl , and that he was to fetch her . "" i think i must be going mad ! what am i doing with the horses and the coach ? "" he said , and he led back the horses into the stable , and went back to the castle , and wanted to marry the bride 's sister , the one who had thrown him the apple .",what was occurring when the king's son returned home ?,one of his brothers was just getting married .,,local,action,explicit,
master-girl,"but when he got home to the castle , one of his brothers was just getting married , and the bride and all the guests were already there . they all crowded around him and asked him this , and asked him that , and wanted to lead him in . but he acted as though he saw none of them , led out the horses , and began to put them to the coach . and since they could by no manner of means induce him to come into the castle , they came out with food and drink , and offered him the best of all that had been prepared for the wedding feast . but the king 's son would taste nothing , and only made haste in order to get away . yet , finally , the bride 's sister rolled an apple over to him across the court - yard : "" and if you will touch nothing else , then at least you might take a bite of the apple , for you must be hungry and thirsty after your long journey , "" said she , and he took the apple and bit into it . but no sooner did he have the bit of apple in his mouth than he had forgotten the master girl , and that he was to fetch her . "" i think i must be going mad ! what am i doing with the horses and the coach ? "" he said , and he led back the horses into the stable , and went back to the castle , and wanted to marry the bride 's sister , the one who had thrown him the apple .",what did the people do because the king's son would not come into the castle ?,came out with food and drink .,,local,action,explicit,
master-girl,"but when he got home to the castle , one of his brothers was just getting married , and the bride and all the guests were already there . they all crowded around him and asked him this , and asked him that , and wanted to lead him in . but he acted as though he saw none of them , led out the horses , and began to put them to the coach . and since they could by no manner of means induce him to come into the castle , they came out with food and drink , and offered him the best of all that had been prepared for the wedding feast . but the king 's son would taste nothing , and only made haste in order to get away . yet , finally , the bride 's sister rolled an apple over to him across the court - yard : "" and if you will touch nothing else , then at least you might take a bite of the apple , for you must be hungry and thirsty after your long journey , "" said she , and he took the apple and bit into it . but no sooner did he have the bit of apple in his mouth than he had forgotten the master girl , and that he was to fetch her . "" i think i must be going mad ! what am i doing with the horses and the coach ? "" he said , and he led back the horses into the stable , and went back to the castle , and wanted to marry the bride 's sister , the one who had thrown him the apple .",what happened when the king's son took a bite of the apple ?,he had forgotten the master girl and that he was to fetch her .,,local,outcome resolution,explicit,
master-girl,"but when he got home to the castle , one of his brothers was just getting married , and the bride and all the guests were already there . they all crowded around him and asked him this , and asked him that , and wanted to lead him in . but he acted as though he saw none of them , led out the horses , and began to put them to the coach . and since they could by no manner of means induce him to come into the castle , they came out with food and drink , and offered him the best of all that had been prepared for the wedding feast . but the king 's son would taste nothing , and only made haste in order to get away . yet , finally , the bride 's sister rolled an apple over to him across the court - yard : "" and if you will touch nothing else , then at least you might take a bite of the apple , for you must be hungry and thirsty after your long journey , "" said she , and he took the apple and bit into it . but no sooner did he have the bit of apple in his mouth than he had forgotten the master girl , and that he was to fetch her . "" i think i must be going mad ! what am i doing with the horses and the coach ? "" he said , and he led back the horses into the stable , and went back to the castle , and wanted to marry the bride 's sister , the one who had thrown him the apple .",who gave the king's son the apple ?,the bride 's sister .,,local,character,explicit,
master-girl,"in the meantime the master girl sat by the seashore , and waited and waited ; but no king 's son came . then she went on , and after she had gone a while , she came to a little hut that lay all by itself in the forest , near the king 's castle . she went in and asked whether she might not stay there . now the little hut belonged to an old woman , and she was an arrant and evil witch ; at first she did not want to take in the master girl at all ; but at last she agreed to do so for love of money . but the whole hut was as dark and dirty as a pig - sty ; therefore the master girl said she would clean up a bit , so that things would look as they did in other , decent people 's houses . the old woman would have none of it , and was very disagreeable and angry ; but the master girl paid no attention to her . she took the chest of gold dust , and threw a handful into the fire , so that a ray of gold shone over the whole hut , and it was gilded outside and in . but when the gold flamed up , the old woman was so terribly frightened that she ran out as though the evil one were after her , and from pure rage she forgot to duck at the threshold , and ran her head against the door - post . and that was the end of her .",who lived in the little hut ?,an old woman .,,local,character,explicit,
master-girl,"in the meantime the master girl sat by the seashore , and waited and waited ; but no king 's son came . then she went on , and after she had gone a while , she came to a little hut that lay all by itself in the forest , near the king 's castle . she went in and asked whether she might not stay there . now the little hut belonged to an old woman , and she was an arrant and evil witch ; at first she did not want to take in the master girl at all ; but at last she agreed to do so for love of money . but the whole hut was as dark and dirty as a pig - sty ; therefore the master girl said she would clean up a bit , so that things would look as they did in other , decent people 's houses . the old woman would have none of it , and was very disagreeable and angry ; but the master girl paid no attention to her . she took the chest of gold dust , and threw a handful into the fire , so that a ray of gold shone over the whole hut , and it was gilded outside and in . but when the gold flamed up , the old woman was so terribly frightened that she ran out as though the evil one were after her , and from pure rage she forgot to duck at the threshold , and ran her head against the door - post . and that was the end of her .",why did the old woman agree to take in the master girl ?,for love of money .,,local,causal relationship,explicit,
master-girl,"in the meantime the master girl sat by the seashore , and waited and waited ; but no king 's son came . then she went on , and after she had gone a while , she came to a little hut that lay all by itself in the forest , near the king 's castle . she went in and asked whether she might not stay there . now the little hut belonged to an old woman , and she was an arrant and evil witch ; at first she did not want to take in the master girl at all ; but at last she agreed to do so for love of money . but the whole hut was as dark and dirty as a pig - sty ; therefore the master girl said she would clean up a bit , so that things would look as they did in other , decent people 's houses . the old woman would have none of it , and was very disagreeable and angry ; but the master girl paid no attention to her . she took the chest of gold dust , and threw a handful into the fire , so that a ray of gold shone over the whole hut , and it was gilded outside and in . but when the gold flamed up , the old woman was so terribly frightened that she ran out as though the evil one were after her , and from pure rage she forgot to duck at the threshold , and ran her head against the door - post . and that was the end of her .",what did the old woman not want the master girl to do ?,clean up a bit .,,local,action,explicit,
master-girl,"in the meantime the master girl sat by the seashore , and waited and waited ; but no king 's son came . then she went on , and after she had gone a while , she came to a little hut that lay all by itself in the forest , near the king 's castle . she went in and asked whether she might not stay there . now the little hut belonged to an old woman , and she was an arrant and evil witch ; at first she did not want to take in the master girl at all ; but at last she agreed to do so for love of money . but the whole hut was as dark and dirty as a pig - sty ; therefore the master girl said she would clean up a bit , so that things would look as they did in other , decent people 's houses . the old woman would have none of it , and was very disagreeable and angry ; but the master girl paid no attention to her . she took the chest of gold dust , and threw a handful into the fire , so that a ray of gold shone over the whole hut , and it was gilded outside and in . but when the gold flamed up , the old woman was so terribly frightened that she ran out as though the evil one were after her , and from pure rage she forgot to duck at the threshold , and ran her head against the door - post . and that was the end of her .",how did the old woman feel when the master girl began to clean ?,angry .,,local,feeling,explicit,
master-girl,"in the meantime the master girl sat by the seashore , and waited and waited ; but no king 's son came . then she went on , and after she had gone a while , she came to a little hut that lay all by itself in the forest , near the king 's castle . she went in and asked whether she might not stay there . now the little hut belonged to an old woman , and she was an arrant and evil witch ; at first she did not want to take in the master girl at all ; but at last she agreed to do so for love of money . but the whole hut was as dark and dirty as a pig - sty ; therefore the master girl said she would clean up a bit , so that things would look as they did in other , decent people 's houses . the old woman would have none of it , and was very disagreeable and angry ; but the master girl paid no attention to her . she took the chest of gold dust , and threw a handful into the fire , so that a ray of gold shone over the whole hut , and it was gilded outside and in . but when the gold flamed up , the old woman was so terribly frightened that she ran out as though the evil one were after her , and from pure rage she forgot to duck at the threshold , and ran her head against the door - post . and that was the end of her .",what did the old woman do when the gold flamed up ?,ran out as though the evil one were after her .,,local,action,explicit,
master-girl,"the following morning the bailiff came by . he was much surprised to see the little golden hut , glittering and sparkling there in the forest , and was still more surprised at the girl within the hut . he fell in love with her at once , and asked her whether she would not become the bailiff 's lady . "" yes , but have you plenty of money ? "" said the master girl . yes , he had quite a little , said the bailiff . then he went home to fetch his money , and came back again at evening dragging along an enormous sack of it , which he stood on a bench before the door . the master girl said that , seeing he had so much money , she would accept him . and then she asked him to rake the fire , which she said she had forgotten to do . but as soon as he had the poker in his hand , the master girl cried : "" may god grant that you hold the poker , and the poker hold you , and that sparks and ashes fly around you until morning ! "" and there the bailiff stood the whole night through , and sparks and ashes flew about him , nor were the sparks the less hot for all his complaining and begging . and when morning came , and he could let go the poker , he did not stay long ; but ran off as though the evil one were at his heels . and those who saw him stared and laughed , for he ran like a madman , and looked as though he had been thrashed and tanned . and all would have liked to have known where he had come from , but he said not a word , for he was ashamed .",why was the bailiff surprised by the golden hut ?,it seemed out of place .,,local,causal relationship,implicit,
master-girl,"the following morning the bailiff came by . he was much surprised to see the little golden hut , glittering and sparkling there in the forest , and was still more surprised at the girl within the hut . he fell in love with her at once , and asked her whether she would not become the bailiff 's lady . "" yes , but have you plenty of money ? "" said the master girl . yes , he had quite a little , said the bailiff . then he went home to fetch his money , and came back again at evening dragging along an enormous sack of it , which he stood on a bench before the door . the master girl said that , seeing he had so much money , she would accept him . and then she asked him to rake the fire , which she said she had forgotten to do . but as soon as he had the poker in his hand , the master girl cried : "" may god grant that you hold the poker , and the poker hold you , and that sparks and ashes fly around you until morning ! "" and there the bailiff stood the whole night through , and sparks and ashes flew about him , nor were the sparks the less hot for all his complaining and begging . and when morning came , and he could let go the poker , he did not stay long ; but ran off as though the evil one were at his heels . and those who saw him stared and laughed , for he ran like a madman , and looked as though he had been thrashed and tanned . and all would have liked to have known where he had come from , but he said not a word , for he was ashamed .",how did the bailiff feel when he finally let go of the poker ?,frightened .,,local,feeling,implicit,
master-girl,"the following morning the bailiff came by . he was much surprised to see the little golden hut , glittering and sparkling there in the forest , and was still more surprised at the girl within the hut . he fell in love with her at once , and asked her whether she would not become the bailiff 's lady . "" yes , but have you plenty of money ? "" said the master girl . yes , he had quite a little , said the bailiff . then he went home to fetch his money , and came back again at evening dragging along an enormous sack of it , which he stood on a bench before the door . the master girl said that , seeing he had so much money , she would accept him . and then she asked him to rake the fire , which she said she had forgotten to do . but as soon as he had the poker in his hand , the master girl cried : "" may god grant that you hold the poker , and the poker hold you , and that sparks and ashes fly around you until morning ! "" and there the bailiff stood the whole night through , and sparks and ashes flew about him , nor were the sparks the less hot for all his complaining and begging . and when morning came , and he could let go the poker , he did not stay long ; but ran off as though the evil one were at his heels . and those who saw him stared and laughed , for he ran like a madman , and looked as though he had been thrashed and tanned . and all would have liked to have known where he had come from , but he said not a word , for he was ashamed .",what did the bailiff do once he let go of the poker ?,ran like a madman .,,local,action,explicit,
master-girl,"on the following day the clerk passed by the master girl 's little house . he saw it glistening and shining in the woods , and went in to find out who lived there . when he saw the beautiful girl he fell even more deeply in love with her than the bailiff had , and lost no time in suing for her hand . the master girl asked him , as she had asked the bailiff , whether he had plenty of money . money he had to spare , answered the clerk , and ran right home to fetch it . by evening he was back again with a great sack -- it must have been as much again as the bailiff had brought -- and stood it on the bench . and so she promised to take him . then she asked him to shut the house - door , which she said she had forgotten to do . but when he had the door - knob in his hand , she cried : "" may god grant that you hold the door - knob and that the door - knob hold you , and that you move back and forth with it all night long until morning ! "" and the clerk had to dance the whole night through , such a waltz as he had never tripped before , and he had no wish to repeat the experience . sometimes he was ahead , and sometimes the door was , and so they went back and forth all night , from wall to post and post to wall , and he was nearly bruised to death . first he cursed , then he wailed and pleaded ; but the door paid no attention to him , and flung open and shut until it dawned . when it at last released him , he hurried away as quickly as though he had stolen something , forgot his sackful of money , and his wish to marry , and was glad that the door did not come threshing along after him . all grinned and stared at the clerk , for he ran like a madman , and looked worse than if a ram had been butting him all night long .",what happened once the clerk had the door-knob in his hand ?,he was stuck .,,local,outcome resolution,implicit,
master-girl,"on the following day the clerk passed by the master girl 's little house . he saw it glistening and shining in the woods , and went in to find out who lived there . when he saw the beautiful girl he fell even more deeply in love with her than the bailiff had , and lost no time in suing for her hand . the master girl asked him , as she had asked the bailiff , whether he had plenty of money . money he had to spare , answered the clerk , and ran right home to fetch it . by evening he was back again with a great sack -- it must have been as much again as the bailiff had brought -- and stood it on the bench . and so she promised to take him . then she asked him to shut the house - door , which she said she had forgotten to do . but when he had the door - knob in his hand , she cried : "" may god grant that you hold the door - knob and that the door - knob hold you , and that you move back and forth with it all night long until morning ! "" and the clerk had to dance the whole night through , such a waltz as he had never tripped before , and he had no wish to repeat the experience . sometimes he was ahead , and sometimes the door was , and so they went back and forth all night , from wall to post and post to wall , and he was nearly bruised to death . first he cursed , then he wailed and pleaded ; but the door paid no attention to him , and flung open and shut until it dawned . when it at last released him , he hurried away as quickly as though he had stolen something , forgot his sackful of money , and his wish to marry , and was glad that the door did not come threshing along after him . all grinned and stared at the clerk , for he ran like a madman , and looked worse than if a ram had been butting him all night long .",what did the clerk do because he was in such a hurry to leave ?,forgot his sacksful of money and his wish to marry .,,local,action,explicit,
master-girl,"on the third day the magistrate came by , and also saw the little golden house in the forest . and he , too , went in to see who lived in it . and when he saw the master girl , he fell so deeply in love with her that he sued for her hand as soon as he bade her good - day . but she told him just what she had told the others , that if he had plenty of money she would take him . he had money enough , said the magistrate , and he went straight home to fetch it . when he came back in the evening , he had a much bigger sack of money with him than the clerk had had , and he stood it on the bench . then the master girl said she would take him . but first she asked him to go fetch the calf , which she had forgotten to bring to the stable . and when he had the calf by the tail she cried : "" may god grant that you hold the calf 's tail , and the calf 's tail hold you , and that you fly about the world together until morning ! "" and with that the race began , over stick and stone , over hill and dale , and the more the magistrate cursed and yelled , the more madly the calf ran away . when it dawned there was hardly a whole bone in the magistrate 's body , and he was so happy to be able to let go the calf 's tail that he forgot his bag of money , and the whole occurrence . it is true that he went home more slowly than the bailiff and the clerk ; but the slower he went the more time the people had to stare and grin at him , so ragged and badly beaten did he appear after his dance with the calf .",what did the master girl ask the magistrate to fetch ?,the calf .,,local,action,explicit,
master-girl,"on the third day the magistrate came by , and also saw the little golden house in the forest . and he , too , went in to see who lived in it . and when he saw the master girl , he fell so deeply in love with her that he sued for her hand as soon as he bade her good - day . but she told him just what she had told the others , that if he had plenty of money she would take him . he had money enough , said the magistrate , and he went straight home to fetch it . when he came back in the evening , he had a much bigger sack of money with him than the clerk had had , and he stood it on the bench . then the master girl said she would take him . but first she asked him to go fetch the calf , which she had forgotten to bring to the stable . and when he had the calf by the tail she cried : "" may god grant that you hold the calf 's tail , and the calf 's tail hold you , and that you fly about the world together until morning ! "" and with that the race began , over stick and stone , over hill and dale , and the more the magistrate cursed and yelled , the more madly the calf ran away . when it dawned there was hardly a whole bone in the magistrate 's body , and he was so happy to be able to let go the calf 's tail that he forgot his bag of money , and the whole occurrence . it is true that he went home more slowly than the bailiff and the clerk ; but the slower he went the more time the people had to stare and grin at him , so ragged and badly beaten did he appear after his dance with the calf .",what did the magistrate look like after his dance with the calf ?,ragged and badly beaten .,,local,character,explicit,
master-girl,"on the following day there was to be a wedding at the castle , and not only was the older prince to marry , but the one who had stayed with the giant as well , and he was to get the other bride 's sister . but when they entered the coach and were about to drive to church , one of the axles broke . they took another , and then a third , but all of them broke , no matter what kind of wood they used . it took a great deal of time , and they did not move from the spot , and got all out of sorts . then the bailiff said , for he had also been invited to the wedding at the castle , that a maiden lived out in the forest , and "" if they could only get the loan of her poker , it would be sure to hold . "" so they sent to the little house in the forest , and asked most politely whether the maiden would not loan them the poker of which the bailiff had spoken . and they got it , too , and then they had an axle that would not break .",who was to be marry on the following day ?,the older prince .,,local,character,explicit,
master-girl,"the following morning the bailiff came by . he was much surprised to see the little golden hut , glittering and sparkling there in the forest , and was still more surprised at the girl within the hut . he fell in love with her at once , and asked her whether she would not become the bailiff 's lady . "" yes , but have you plenty of money ? "" said the master girl . yes , he had quite a little , said the bailiff . then he went home to fetch his money , and came back again at evening dragging along an enormous sack of it , which he stood on a bench before the door . the master girl said that , seeing he had so much money , she would accept him . and then she asked him to rake the fire , which she said she had forgotten to do . but as soon as he had the poker in his hand , the master girl cried : "" may god grant that you hold the poker , and the poker hold you , and that sparks and ashes fly around you until morning ! "" and there the bailiff stood the whole night through , and sparks and ashes flew about him , nor were the sparks the less hot for all his complaining and begging . and when morning came , and he could let go the poker , he did not stay long ; but ran off as though the evil one were at his heels . and those who saw him stared and laughed , for he ran like a madman , and looked as though he had been thrashed and tanned . and all would have liked to have known where he had come from , but he said not a word , for he was ashamed . on the following day there was to be a wedding at the castle , and not only was the older prince to marry , but the one who had stayed with the giant as well , and he was to get the other bride 's sister . but when they entered the coach and were about to drive to church , one of the axles broke . they took another , and then a third , but all of them broke , no matter what kind of wood they used . it took a great deal of time , and they did not move from the spot , and got all out of sorts . then the bailiff said , for he had also been invited to the wedding at the castle , that a maiden lived out in the forest , and "" if they could only get the loan of her poker , it would be sure to hold . "" so they sent to the little house in the forest , and asked most politely whether the maiden would not loan them the poker of which the bailiff had spoken . and they got it , too , and then they had an axle that would not break . ",how did the bailiff know of the poker ?,he had been stuck to it .,,summary,action,implicit,
master-girl,"on the following day there was to be a wedding at the castle , and not only was the older prince to marry , but the one who had stayed with the giant as well , and he was to get the other bride 's sister . but when they entered the coach and were about to drive to church , one of the axles broke . they took another , and then a third , but all of them broke , no matter what kind of wood they used . it took a great deal of time , and they did not move from the spot , and got all out of sorts . then the bailiff said , for he had also been invited to the wedding at the castle , that a maiden lived out in the forest , and "" if they could only get the loan of her poker , it would be sure to hold . "" so they sent to the little house in the forest , and asked most politely whether the maiden would not loan them the poker of which the bailiff had spoken . and they got it , too , and then they had an axle that would not break .",what did the poker do ?,kept the axle from breaking .,,local,action,implicit,
master-girl,"but when they wanted to drive on , the bottom of the coach broke . they made a new bottom as well as they were able , but no matter how they put it together , nor what kind of wood they used , it kept on breaking again as soon as they had left the court - yard . and they were worse off than they had been with the axle . then the clerk said -- for if the bailiff was one of the company , you may be sure they had not forgotten to invite the clerk--""out in the forest lives a maiden , and if you will get the loan of her house - door , i am sure it would not break . "" so they sent to the little house in the forest , and asked most politely whether the maiden would not loan them the golden house - door , of which the clerk had told them . and they got it , too , and were about to drive on , when suddenly the horses could not draw the coach . there were six , so they put to eight , and then ten and twelve , but though they put as many as they liked to the coach and helped along with the whip , still the coach would not budge . the day was already far advanced , and they simply had to get to church , and actually began to despair . but then the magistrate said that out in the golden house in the forest lived a maiden , "" and if one could only get the loan of her calf , it would be sure to pull the coach , and though it were as heavy as a bowlder . "" they did not think it quite the thing to drive to church with a calf ; but still there was nothing to do but to send to the maiden , and to ask her most politely , with a kind greeting from the king , if she would loan them the calf of which the magistrate had spoken . nor did the master girl refuse them this time . and then , when they had put the calf to the coach , it moved from the spot quickly enough . it flew over stick and stone , hill and dale , so that the people inside could hardly catch their breath . first it was on the ground , and next it was in the air , and when they reached the church , it spun around it like a top , and they had the greatest difficulty in getting out and into the church . and going home they went still faster , and were nearly out of their wits by the time they reached the castle .",what happened every time the coach left the court-yard ?,the bottom kept breaking .,,local,outcome resolution,explicit,
master-girl,"but when they wanted to drive on , the bottom of the coach broke . they made a new bottom as well as they were able , but no matter how they put it together , nor what kind of wood they used , it kept on breaking again as soon as they had left the court - yard . and they were worse off than they had been with the axle . then the clerk said -- for if the bailiff was one of the company , you may be sure they had not forgotten to invite the clerk--""out in the forest lives a maiden , and if you will get the loan of her house - door , i am sure it would not break . "" so they sent to the little house in the forest , and asked most politely whether the maiden would not loan them the golden house - door , of which the clerk had told them . and they got it , too , and were about to drive on , when suddenly the horses could not draw the coach . there were six , so they put to eight , and then ten and twelve , but though they put as many as they liked to the coach and helped along with the whip , still the coach would not budge . the day was already far advanced , and they simply had to get to church , and actually began to despair . but then the magistrate said that out in the golden house in the forest lived a maiden , "" and if one could only get the loan of her calf , it would be sure to pull the coach , and though it were as heavy as a bowlder . "" they did not think it quite the thing to drive to church with a calf ; but still there was nothing to do but to send to the maiden , and to ask her most politely , with a kind greeting from the king , if she would loan them the calf of which the magistrate had spoken . nor did the master girl refuse them this time . and then , when they had put the calf to the coach , it moved from the spot quickly enough . it flew over stick and stone , hill and dale , so that the people inside could hardly catch their breath . first it was on the ground , and next it was in the air , and when they reached the church , it spun around it like a top , and they had the greatest difficulty in getting out and into the church . and going home they went still faster , and were nearly out of their wits by the time they reached the castle .",who else had been invited to the wedding besides the bailiff ?,the clerk .,,local,character,explicit,
master-girl,"but when they wanted to drive on , the bottom of the coach broke . they made a new bottom as well as they were able , but no matter how they put it together , nor what kind of wood they used , it kept on breaking again as soon as they had left the court - yard . and they were worse off than they had been with the axle . then the clerk said -- for if the bailiff was one of the company , you may be sure they had not forgotten to invite the clerk--""out in the forest lives a maiden , and if you will get the loan of her house - door , i am sure it would not break . "" so they sent to the little house in the forest , and asked most politely whether the maiden would not loan them the golden house - door , of which the clerk had told them . and they got it , too , and were about to drive on , when suddenly the horses could not draw the coach . there were six , so they put to eight , and then ten and twelve , but though they put as many as they liked to the coach and helped along with the whip , still the coach would not budge . the day was already far advanced , and they simply had to get to church , and actually began to despair . but then the magistrate said that out in the golden house in the forest lived a maiden , "" and if one could only get the loan of her calf , it would be sure to pull the coach , and though it were as heavy as a bowlder . "" they did not think it quite the thing to drive to church with a calf ; but still there was nothing to do but to send to the maiden , and to ask her most politely , with a kind greeting from the king , if she would loan them the calf of which the magistrate had spoken . nor did the master girl refuse them this time . and then , when they had put the calf to the coach , it moved from the spot quickly enough . it flew over stick and stone , hill and dale , so that the people inside could hardly catch their breath . first it was on the ground , and next it was in the air , and when they reached the church , it spun around it like a top , and they had the greatest difficulty in getting out and into the church . and going home they went still faster , and were nearly out of their wits by the time they reached the castle .",what happened because the calf pulled the coach ?,it moved from the spot quickly enough .,,local,outcome resolution,explicit,
master-girl,"when they sat down to the table the king 's son -- the same who had been at the giant's -- said it would be no more than right to invite the maiden , too , who had lent them the poker , and the door and the calf : "" for if we had not had these things , we should not have moved from the spot . "" this seemed right to the king , so he sent five of his most distinguished courtiers to the little golden house . they were to carry the king 's kindest greetings , and ask that the maiden come up to the castle and take dinner with them . "" a kind greeting to the king , and if he is too good to come to me , then i am too good to go to him , "" said the master girl . so the king had to go to her himself , and then she went along with him at once , and the king saw very well that she was more than she appeared to be , and gave her a place at the head of the table , next to the young bridegroom . after they had been at dinner for a while , the master girl produced the rooster and the hen and the golden apple -- they were the three things she had taken along from the giant 's castle -- and placed them on the table before her . at once the rooster and the hen began to fight for the golden apple . "" why , just see how the two fight for the golden apple ! "" said the king 's son . "" yes , that is how we had to fight the time we wanted to get out of the rock ! "" said the master girl . and then the king 's son recognized her , and was very happy . the witch who had rolled the apple over to him was duly punished . then the wedding really began , and the bailiff , and the clerk and the magistrate held out to the very end , for all that their wings had been so thoroughly singed .",why did the king's son want to invite the master girl ?,"she had lent them the poker , and the door , and the calf .",,local,causal relationship,explicit,
master-girl,"when they sat down to the table the king 's son -- the same who had been at the giant's -- said it would be no more than right to invite the maiden , too , who had lent them the poker , and the door and the calf : "" for if we had not had these things , we should not have moved from the spot . "" this seemed right to the king , so he sent five of his most distinguished courtiers to the little golden house . they were to carry the king 's kindest greetings , and ask that the maiden come up to the castle and take dinner with them . "" a kind greeting to the king , and if he is too good to come to me , then i am too good to go to him , "" said the master girl . so the king had to go to her himself , and then she went along with him at once , and the king saw very well that she was more than she appeared to be , and gave her a place at the head of the table , next to the young bridegroom . after they had been at dinner for a while , the master girl produced the rooster and the hen and the golden apple -- they were the three things she had taken along from the giant 's castle -- and placed them on the table before her . at once the rooster and the hen began to fight for the golden apple . "" why , just see how the two fight for the golden apple ! "" said the king 's son . "" yes , that is how we had to fight the time we wanted to get out of the rock ! "" said the master girl . and then the king 's son recognized her , and was very happy . the witch who had rolled the apple over to him was duly punished . then the wedding really began , and the bailiff , and the clerk and the magistrate held out to the very end , for all that their wings had been so thoroughly singed .",how did the king's son feel when he recognized the master girl ?,happy .,,local,feeling,explicit,
