text_a	text_b	labels
	These are four other points	0.0
It s like double the shape	Yes it s doubled	4.0
	We double the X and we double the Y	0.0
Just like in Mug Wump	Just like in Mug Wump	3.0
	What are we going to call this new shape	5.0
	The new shape	0.0
Image	Image	3.0
	We could write new sheet for both	0.0
	We re going to call it image	0.0
	I want to point out a couple of things because we re going to be looking at these things throughout this unit	0.0
	The shape got twice as big	0.0
	This side length right here was how much	5.0
Two	Two	3.0
	This side length was	5.0
Four	This side length was	5.0
Three	Three	3.0
	This one is	5.0
Six	Six	3.0
	All the side lengths got twice as big because the shape got twice as big	0.0
	I want to show you something that we might start talking about tomorrow	0.0
	I m going to ask you how many of these shapes Im going to do this really quick	0.0
	How many of these shapes do you think will fit in the red shape	5.0
Can you show us	I m going to show you now Im turningeverything around	0.0
	It s twice as big	0.0
	I m just going to do it over here just to make it a little bit more clear	0.0
It s two	That s one	0.0
	There s a lot of space up there right	1.0
Three	I m going to put this one up here	0.0
	It s not going to work out perfectly	0.0
It s about two	It should be	5.0
Four	It should be four shapes	4.0
	If this one was a slightly different shape it would fit right there	0.0
	This part would go right there	0.0
	You see how those are the same	1.0
	This one if it was perfect with that extra part it would go in there	0.0
How would two times make it go into four times	I m not going to explain too much about it because I want us to really think about what s going happen over the next couple of days	0.0
	All the side links got twice as big but we can fit four of the shapes in it	0.0
	Well talk about why that is over the course in the next couple of days in this unit	0.0
	All right let s take a look at our homework	0.0
	Let s switch gears	0.0
	You can have your Mug Wumps in front of you	0.0
Wait do we need this Mr G	Yes hold on to it	0.0
	All right	0.0
	Lets talk about Mug Wumps	0.0
	For the most part people s Mug Wumps look really really good as Ive set  for homework	0.0
	Were going to write a couple of things on our Mug Wumps sheet and were going to write it on the sheet in place of taking separate notes today because itll save us time and it actually just makes more sense to write it on here	0.0
	For Mug Wump what Id like you to do is write the rule XY and youre going to write Original	0.0
	XY Original	0.0
	Were going to look for some patterns here and were going to use some words that you may have or may have not heard in a math setting before	0.0
	What was the rule for Zug	5.0
	Anybody remember	5.0
2X 2Y	Now what I want to ask you is this	0.0
	Does Zug pretty much look like Mug Wump	1.0
Yes	Yes this figure	4.0
	One other thing I want you to notice is that is this angle the same as this angle	1.0
Yes	Is this angle appear the same as this angle	1.0
Yes	Zug in a math vocabulary way we would say is similar	0.0
	Thats not how you spell similar	0.0
	Similar to Mug Wump	0.0
	Yes Zug is similar to Mug Wump	0.0
	Lug what was the rule for Lug	5.0
3XY	Okay 3XY	4.0
	Ive got three times wider and then Y didn t get multiplied to anything so it just stayed the same height	0.0
	Im going to ask you the same question	0.0
	Are these angles the same as on those two shapes	1.0
No	Okay	0.0
	This angle is definitely smaller and this angle is bigger	0.0
	What we would say is this shape is distorted because its only got stretched one direction	0.0
	It didnt get stretched and made all the way bigger it just only got wider	0.0
	If you think about on a computer have you ever made a picture bigger and all of a sudden you actually drag it too far to the side and it just looks super weird	1.0
Then it looks like lug	Yes it looks like that	4.0
	Thats what we would call a distorted image	0.0
	Were going to go a little quicker now	0.0
	Bug is 3X 3Y	0.0
	Bug looks like these two so youre going to write similar	0.0
	Then GLug	0.0
It was X3Y	X3Y	3.0
	I also want you to be thinking about what do these rules mean	0.0
	Nothing changed about X so the width did not change but then 3 times Y got three times bigger	0.0
	Are these angles the same	1.0
No	No definitely not so this one is also distorted	4.0
	Now I want you to notice that the similar shapes got multiplied by the same number	0.0
	The distorted shapes got multiplied by different numbers	0.0
	Were going to explore that a little bit as well	0.0
	Roger	1.0
Are there going to be more when you make more shapes on a graph is there going to be different definitions or is it just going to be similar or distorted	Thats a good question Roger	0.0
	Similar just means does it has the same shape	0.0
	It could be a different size but the same angles	0.0
	A lot of different shapes could be considered similar	0.0
	Distorted just means like its a different type of shape with different angles	0.0
	These are important to know were going to focus a lot on the rules rather than is it just similar or distorted	0.0
	Were going to focus on what does the rule even mean	0.0
	Lucille	1.0
	Hold on a second Lucille I cant hear you	0.0
	This one	1.0
Would you feel that it got the original	I don t know	0.0
	I never thought about it like that	0.0
	Lucille asked if we subtracted these two would you get back to the original	1.0
No	I think no because this is almost a 90degree angle and if you take that away from this angle you get back to really small angles	4.0
Why six	Yes Im not sure	0.0
	Lucille thats a good question	0.0
	People Ill keep waiting	0.0
	Lets think about that in other ones because there might be some relationship	0.0
	Im not sure	0.0
When you say the rule you mean 2X 2Y or XY	Yes those are the coordinate rules	0.0
	Were going to spend a lot of time talking about those like today and tomorrow and the next day	0.0
	Rory	1.0
What if you started out with Bug and tried to smaller	That would work and were going to talk about that	0.0
	Were going to talk about that a little bit at the end of the class today	0.0
	You can do that	0.0
	You can start with a shape and you can get smaller and it could still be the same type of shape just like on a computer when you put a picture and youre like  Oh that picture is too big  you make it smaller same deal still similar	0.0
Would that be like negative three	All right	0.0
	I want to show you two things before we move on	0.0
	Youre going to have a lot of time at the end of class to get started on your graphing hack stuff because its similar in some ways to what you re just doing tonight	0.0
	However I want to show you two things	0.0
	The first thing is a couple years ago I made a GeoGebra app	0.0
Whats a GeoGebra	Ill show you what that is	0.0
	Its linked on my website	0.0
I just played with this today	Thats so cool	0.0
	I like GeoGebra	0.0
	Im going to wait till I have your full attention	0.0
	This GeoGebra app is really useful	0.0
	If you want to test out coordinate rules or if over the next couple days youre like  Im not really understanding coordinate rules and what different things mean  These rules can be changed by these sliders up here	0.0
	For example thats Mug Wump	0.0
	Then if I change A	0.0
	Notice whats happening in the coordinate rules	0.0
Okay	Ill keep waiting	0.0
	No need for those side comments	0.0
	I want you to really focus as were going through these sliders on which number is changing over here and at the same time whats happened to the shapes	0.0
	This A is just changing how wide the shape is	0.0
	Make them thick	0.0
	This one is changing how tall the shape is	0.0
	Make them as big as possible	0.0
	For example if we did twice as Y and twice this all it looked like that	0.0
Its Zug	Yes that will be Zug	4.0
	Notice 2X 2Y	0.0
	I just want you to see that	0.0
	Were going to look at this a lot more tomorrow	0.0
	Now I do just want to show you this because its going to relate to what we do today	0.0
	Im going to change Z and same thing I want you to notice whats going to happen to the shape whats going to change over here	0.0
	Everyone ready	1.0
Oh plus 10 plus oh plus 10 oh	So Im not going to say too much about these okay I feel like Im giving you a lot of suspense today but Im not going to say too much but were going to look into this a lot tomorrow because were going to start class with a warmup thats going to be using this	0.0
	Youll kind of explore these different shapes and point some stuff and some things that you notice about this	0.0
	Okay I want to show you a quick video	0.0
	This video	0.0
Is it about what polygraphs are	Yes	0.0
	Lets stay focused people	0.0
	This video is a really good summary and introduction of the whole unit	0.0
Mabel the comics need to stop	Sorry	0.0
	Okay because Mabel this is like three or four times today okay were talking about comics	0.0
	Okay thank you	0.0
	Okay so Im going to pause it a couple of times and I want you to know that this video is a little bit of like an overview of the whole unit its got some things that we will talk about and some things that were not going to talk about for a couple of days or even like a week or two but its a good summary and it really talks about the beginning stuff as well as why we might use some of the ideas in this unit	0.0
	Okay so here we go	0.0
	Okay so I just want to make one point two points	0.0
	Are the angles the same	1.0
No	No so one way we could talk about it is like this shape is a distorted version of this shape or this shape is a distorted version of this shape	4.0
	Also I want to point out this word congruent again	0.0
	Okay congruent means the same or equal	0.0
	Okay so were going talk about scale factor a lot	0.0
	Scale factor is how many times bigger or smaller a shape is	0.0
	Tomorrow were going to start  about the scale factor and Im just going to skip ahead just a little bit more and here goes	0.0
	Okay so this is one of the big ways that this unit is actually super useful and it could be useful to measure something thats unmeasurable or something thats really tough to measure like how tall a tree is	0.0
	Were going to do this exact thing with the goal posts on the football field and were going to figure out how tall are the goal posts	0.0
	The main thing next week I know its not supposed to snow on Thursday but next week hopefully well have a sunny day at some point and well go outside	0.0
	The way itll work is youll measure someones height youll measure how long their shadow is and then youll measure how long the shadow of the goal post is and using those youll be able to figure out what the height of the goal post is and you could be super super super accurate with this like to almost almost exact	0.0
	So were going to do that with the goal posts	0.0
	All right lets finish this up then well get into our	0.0
	Oops sorry	0.0
	Okay did I give you guys some	0.0
	Yes	0.0
	All right people	0.0
	So  Before I let you guys get started on your homework Okay so this pink page is your graphing huts worksheet that is your homework for tonight	0.0
	Theres some stuff that we need to talk about altogether and then Im going to let you get going on it	0.0
	If you would just please glance at the back	0.0
	The back side is not your homework the back side is your warmup for tomorrow so do not do the back side were going to use that app youre going to use the app not me to figure out the ones from the back and see what the deal is with those	0.0
	So lets look at the front theres just a couple of things I need to tell you to let you get started on this and the first couple of things are what we should even put in these blanks	0.0
	Were going to start off with just four vocabulary words similar shapes at the top corresponding angles are congruent	0.0
	Okay were going to use the vocabulary word congruent	0.0
	Lucille write these in	0.0
	Then the next three words are a little tricky to remember	0.0
	Im going to show you all three at once	0.0
	Oh actually were going to do the side lengths	0.0
	Corresponding angles are congruent side lengths are multiplied by the same number	0.0
	So thats just like how similar shapes look and those are the same side lengths are multiplied	0.0
	The next three you could fill in these blanks	0.0
	Has anybody gotten their eyes dilated	1.0
	Like go to the eye doctor	0.0
	When you get your eyes dilated it means like your pupils get really big and your eyes naturally dilate if there is like no light or just a little bit of light or super bright like your pupils change size	0.0
	Dilation just means changing size	0.0
	If you dilate a shape or you do a dilation on a shape you make it bigger or you make it smaller like Rory was saying	0.0
What is that other one say trans	Translation this is translation just like down here	0.0
	A translation of a shape is moving a shape without changing the size	0.0
	Were going to talk about that on the graphing hats paper that you have	0.0
	Then in general the math word transformation if you transform a shape that means you dilations and or translations to it	0.0
	Which means youre moving it around and changing the size of it	0.0
	Just like we were with Mug Wump on that app	0.0
	Last thing I need to tell you and then youre going to have time to work I promise is this	0.0
	This is mugs hat up here	0.0
	All of the points are here	0.0
	Those are the ones that you need to label down here on your graph	0.0
	You dont have all this information but its in this graph right up here	0.0
	A and B are labeled for you already	0.0
	Youre going to figure out what is C what is D what is E what is F	0.0
	Notice how G is the same as A	0.0
	Your goal for today in class and whatever you dont get to is going to turn into your homework but your goal is to figure out the points for each of the different hats and there are hats that are for Mug Wump	0.0
	They start off small	0.0
	Theyre not for all the different cases just for Mug	0.0
Just for Mug Wump	Then I forgot to give you the grids	0.0
	These are the grids	0.0
	Youre going to have six parts that you have graphed just like youre filling in six sets of points on there	0.0
Can we use GeoGebra	No	0.0
	You can just fill them out but then were going to use GeoGebra tomorrow okay	1.0
	Does that sound good people	1.0
	All right people	0.0
	Welcome welcome welcome	0.0
	Two things to start off for today please have your homework and calendar on your desk	0.0
	Your warmup for today is to have is to complete the back of the pink page from yesterday	0.0
	Was anybody not here yesterday besides Oscar	0.0
	Okay	0.0
	Oscar let me get you that page	0.0
	Anybody besides Oscar	0.0
	Okay	0.0
	All right put in the same room but you dont need to touch it okay	0.0
Thats like	Its there but you dont need to touch it	0.0
	Okay Im putting this here but you dont need to touch it or anything okay	0.0
Okay	In the corner up here	0.0
	This is here All right people I need to do some stamps and you are working on that warmup from yesterday	0.0
	Im just going to scoot this table just a little bit	0.0
	Okay Ill come back to you	0.0
	Did you finish your homework	0.0
Ah yes	Yes and today were going to go to one point four	0.0
	Yes	0.0
	Yes	0.0
	Yes	0.0
	Oh yes	0.0
	Just  look at the answer key for the pink page look at the answer key	0.0
	This is your homework	0.0
	What	0.0
	Whos got homework for me	0.0
	Okay	0.0
	All right homeworks over here	0.0
	All right Jane	0.0
	Thats okay	0.0
	I intentionally skipped it	0.0
Thank you	Thank you	0.0
	Thank you	0.0
	Yes you can	0.0
	Homework	0.0
	You right here	0.0
	Oh yes youre next sorry	0.0
	Great	0.0
	All right people	0.0
	Voices off in three two one and zero	0.0
	All right folks lets start off with joke of the day and then were going to talk about the warmup and some strategies for you to use to think about the warmup	0.0
	Then well talk about the homework	0.0
	The homework kind of takes a while to talk about because theres a lot of questions and were especially going to focus on number 10 and then well get into our activity for today and then Im hoping that youll have a little bit of time to start your homework at the end of class kind of like yesterday	0.0
	Sound good everyone	1.0
Yes	Okay	0.0
	All right joke of the day what do you call an elephant that doesnt matter	0.0
I dont know Mr G what	An irrelephant	0.0
What of the other one	It was appropriate	0.0
What do you call an elephant that does matter	An elephant	0.0
	Okay	0.0
	Anyways	0.0
	Okay so the question for these four is asking you are they linear or not	0.0
	Okay	0.0
	Otis do you have your page	0.0
	Do you have your page	0.0
	Okay	0.0
	Are they linear or not	1.0
	I just put these graphs and I see some people sketched a graph which is great	0.0
	Remember linear means straight lines so we want to see do these make a straight line or not and were going to talk about each one it two different ways	0.0
	First of all lets just say each box is one this is the xaxis and this is the yaxis	0.0
	Patricks walking rate 0 0 1 2 2 9 figures right there 3 11 is that a straight line	1.0
No	No	3.0
	It goes like that	0.0
	Okay is that a straight line	1.0
No	Okay	0.0
	This ones nonlinear means the same thing as not linear	0.0
	Okay so its nonlinear	0.0
	Okay	0.0
	The other way I want us to write this in and if you havent done this already I want you to write this	0.0
	Were going to show how much they go up by on both sides	0.0
	So the seconds go up by one every time write plus one	0.0
	Okay and then does the distance go up by the same amount every time	1.0
No	No okay and well just go step by step	4.0
	What does the distance go up by here	5.0
Two	Two	3.0
	And then what	5.0
Seven	Seven and then	5.0
Two	Two and then	5.0
	Nine	0.0
Nine	And then	5.0
Five	Five so its not consistent	4.0
	If its not consistent its not going to be a straight line so its nonlinear	0.0
	Okay and another thing you could write is nonlinear because its not consistent	0.0
	Okay does that sound good everyone	1.0
Yes	Okay	0.0
	Jolenes walking rate	0.0
	On a graph and you might not have a graph its okay if you dont a graph	0.0
	So lets say these are all our ones again so this is the yaxis and this is the xxis	0.0
	Oh and lets talk really quick so time is the bottom and distance is yaxis	0.0
	Okay raise your hand if youve heard of independent and dependent variables from science	0.0
	Okay	0.0
	So I just want to talk a little bit about what that means	0.0
	You can put your hands down	0.0
	Time in this case is the independent variable	0.0
	Distance is the dependent variable and I would think of it in this problem as how far Jolene walked depends on how long shes been walking for	0.0
Dependent as in like depending	Depending on the other one so like and the reason why distance depends on time is because if youre someone whos walking how far you go depends on how long you decide to walk for	4.0
	Lets graph this	0.0
	Like I said you might not have this graph	0.0
	Thats okay	0.0
	Is this going to be a straight line	1.0
Yes	Every two seconds she goes three meters two seconds three meters	0.0
	This is linear and I want us to label over here	0.0
	Im going to ask you to label these a lot over the next couple weeks	0.0
	Every two seconds three meters	0.0
	Does that happen the whole way down	1.0
Yes	I think I skipped one there plus three plus three and plus three	0.0
	Everybody agree so far	2.0
Yes	One second before I get questions lets talk about the unit rate	0.0
	Three meters in two seconds whats the unit rate	5.0
15	15 what	5.0
Wait meters	Meters per	5.0
Meters per second	Meters per second	3.0
	Jolenes walking rate is consistent	0.0
	Its always 15 meters per second	0.0
	Patricks walking rate is variable	0.0
	It changes	0.0
	Otis question	1.0
You can easily notice that just by looking at it	You dont need to make a graph	4.0
	You could just look at it in the table but I think its helpful right now because this is newish for us to look at both	0.0
	If you understand the graph it makes sense what we wrote on the table	0.0
	If you understand what we wrote on the table its helpful to look at it in the graph as well	0.0
	Judith and then Julianna	1.0
Could you just make a line that covers all of them and say plus three	Sure	0.0
	Dont just assume that theyre all going to be plus three	4.0
	Sometimes the first five will be plus three and then the next one will be plus two and that messes it up	0.0
	Thats not linear	0.0
	All right	0.0
	Peters walking rate	0.0
	For this one were not going to graph	0.0
	Does this look like an equation that weve been talking about	1.0
Yes	Distance equals 225	0.0
	Whats Peters walking rate	5.0
	225 meters	0.0
Per second	Everybody agree	2.0
Yes	Is that going to look like a straight line	1.0
Yes	Is it going to be steeper or less steep than Jolenes	5.0
Steeper	Can someone explain that for us	5.0
	Rio	1.0
It would be more steep because the number is  distance she walks faster	Itd be like this slightly faster	4.0
	This ones linear	0.0
	I just want to talk a little bit about Phillips walking rate	0.0
	Does this look like an equation that weve been looking at	1.0
No	Lets think about what this even really means	0.0
	The situation I want you to think about is this	0.0
	Phillip is going to do 100meter dash or 100meter walk	0.0
	Rate is his walking rate and time is how long it takes him to go	0.0
	For this one if you havent written it in 100meter race	0.0
	I want us to write a table and were just going to think about what this means	0.0
	Were going to put rate in the top and time in the bottom	0.0
	Ill give you a second to write that out	0.0
	Heres what I want us to think about for this	0.0
	If Phillip goes one meter per second how long will it take him to do this 100meter race	5.0
	Everybody agree 100 seconds	2.0
Yes	Which is really slow	0.0
	Thats like just doing 100meter dash like this	0.0
	Youre probably going to lose by a lot	0.0
	Were going to go up by one meter per second	0.0
	What is Phillip does two meters per second through the whole race	0.0
	Will it take him 50 seconds	1.0
Yes	Twice as fast means half the time	0.0
	Everybody agree	2.0
Yes	What if he goes three meters per second	5.0
33333	33 13 seconds	4.0
	Everybody agree	2.0
	Thats 13 of 100	1.0
Yes	Quentin	1.0
Can you demonstrate	I cant	0.0
	Ill hurt myself	0.0
	I pull a muscle today	0.0
	Sorry no	0.0
	That is a good question Quentin because as we do the next two itll be more reasonable what these walking rates actually mean	0.0
	Four meters per second	0.0
25	Close 25 seconds	4.0
	Everybody agree	2.0
Yes	25 seconds I dont know	0.0
	When you were in second or third grade if anybody did the 100meter dash it probably took you around 25 seconds when youre running as fast as you could	0.0
	I just want you to think about that	0.0
	In elementary school young elementary school S doing the 100meter dash probably like 25 seconds	0.0
We were a lot faster	Unless youre faster	4.0
	Five meters per second how long will it take	5.0
20 seconds	20 secondsI want you to think about what this means	4.0
	The fastest middle schooler in this school probably can do the 100meter dash in like 12 seconds maybe	0.0
Definitely	20 seconds is like most I dont know	0.0
	If youre running really really fast you could probably do under 20 seconds maybe	0.0
	It depends on how fast you are	0.0
	Five meters per second is pretty much an all out run	0.0
	That puts in perspective	0.0
	Questions on this page right now	1.0
	Lets take a look at the homework	0.0
	If you could switch	0.0
Will that mean if you go 10 meters per second you did 10 seconds	Yes	0.0
	10 meters per second is like Usain Bolt	4.0
	He does the 100meter dash in under 10 seconds	0.0
	10 meters per second is like you are really really really fast	0.0
Thats not natural	For this homework were going to go a little bit quickly through the beginning part and then were going to spend a little bit more time on question ten on the back and then well go into our activity for today	0.0
	This is a lot of warm up and homework to start off today	0.0
	Just want to refresh your memory	0.0
	This one sponsor B is linear sponsor A is proportional and linear and sponsor C is just linear	0.0
	These are the sponsorship plans and its important that you have these correct before you go into the other	0.0
	Sponsor A is 3 per kilometer	0.0
	An equation for it would be N  3D	0.0
	Were going to work on equations a lot the next couple of days today in the next couple of days	0.0
	Sponsor B is at 5 donation and equals 5	0.0
	Sponsor C 2 donation plus 150 per kilometer	0.0
	M equals 15D plus the 2 donation	0.0
	Ripley	1.0
Is that all the same thing	Yes	0.0
	I want you to be comfortable seeing them both ways	0.0
	Couple important things whats the number of dollars per kilometer that sponsor B pledges	5.0
	Zero	0.0
	Sponsor B is a flat line	0.0
	Its 5 to start and then zero per kilometer after that	0.0
	If you wrote five for this one change to zero	0.0
	The starred one here it says what does the point where the line crosses the yaxis mean	5.0
	Go backwards and these three blue dots thats where it crosses the yaxis	0.0
	That means theyre donation	0.0
	This one has no donation 2 donation 5 donation	0.0
	How the line is changing after that depends on what their actual plan is	0.0
	Question number eight	0.0
	I want to talk about dollar a little bit	0.0
	The equation C  5N represents the cost per N number of caps N stands for number of	0.0
	That means each hat costs 5	0.0
	Thats the main thing I want you to get from this equation	0.0
	Its like the number of hats x 5  the cost	0.0
	Each hat costs 5	0.0
	Which of these points shows hats being worth 5	5.0
	N is the first so its the number of hats and C is the cost	0.0
	Zero hats for 5	0.0
	Is that accurate	1.0
No	No	3.0
	15 hats for 60	1.0
No	Thats close but itd be 15 hats for 75	0.0
	Five hats for 1	1.0
No	Thats the opposite of the deal	0.0
	Three hats for 15	1.0
Yes	Does work	0.0
	Yes sir	0.0
Going back on the first  I just wrote 5 per any distance	Yes yes thats fine	0.0
	Okay were going to skip number nine for now but if you want to talk about number 10	0.0
	There are three parts and I know the graphing in the equations are kind of tricky for these but for A predict whether itll be linear or not so the nice thing is that x always goes up by one for this one and always goes up by one for this one and then it changes for these	0.0
	Every time x goes up by one y is just staying at three	0.0
	Is that going to be a straight line	1.0
Yes	Yes its going to be this flat line right here	4.0
Are there any questions like the one youre showing right now could be a four question	It might because some of the patterns get kind of tricky to see especially like four and three	4.0
	Okay table two every time x goes up by one is y going up or down by the same amount	1.0
No	No and you might notice I saw some people continue to graph just like I did it makes this like Ushape	4.0
	Is that a straight line	1.0
No	Definitely not	4.0
	I want you to notice what this pattern is its the pattern of squares so two times two is four thatd be your next point	0.0
	Three times three is nine thatd be your next point	0.0
	4 times 4 is 16 thatd be your next point	0.0
	So its actually just a graph of these if you like make this number your x value and this number your y value	0.0
	Kind of cool	0.0
	Okay and it looks like a U and its on that poster in the back its kind of a tricky its in pink underneath the clock it says quadratic thats this graph	0.0
	Okay so your equation for this one is y equals x squared or y equals x times x which is kind of weird were not going to talk about these for a while after this but you might see them a little bit	0.0
Hey I got x by x	Okay good	0.0
	This one is a straight line even though it goes up by different amounts its because x is also going up by different amounts its a straight line	0.0
	If you made a  equation y equals 3 x plus 10	0.0
	Okay were going to talk a lot about equations so dont worry too much if you got this one wrong	0.0
	Table four it goes down by three every time x goes up by two y goes down by three so it should look like this and then your equation will be this and like I said dont worry about the equation too much for right now were going to come back to this after this	0.0
	Okay	0.0
	Good	0.0
Could it be a constant of proportionality like for table number three it doesnt go to zero then but it would eventually go to zero	No because for number three	1.0
Yes	Heres what constant proportionality means is that theres a constant multiplier	0.0
	So like 5 X 5  25 so its times 5 is the multiplier	0.0
	Does 10 times 5 get you to this one	1.0
No	No its 10 times 4	4.0
	So if theres not a constant multiplier that multipliers changing then its not proportional and it only happens if it goes to zero zero	0.0
	Thats the special thing about it	0.0
	Yes	0.0
So if it doesnt constant a multiplier then it will go to zero	Yes	0.0
	All right people that was a lot of time on this stuff thank you for bearing with me on that	0.0
	Were going to switch gears one more time and heres how its going to work for the end weve got about 20 minutes 25 minutes of class	0.0
	Investigation one point four is pretty short just this one front page	0.0
	What worked really well on first period that we did was this I gave everybody the page I just want you to try it out today	0.0
	You could work by yourself or you could work with your table partner	0.0
	I want you just to try it and when you are done youre going to come talk to me and well look through your answers	0.0
	The equations on here are pretty tricky so I want to have a chance to check in with everyone about your equations that youre writing and talk about some important things and make sure were all on the same page with that	0.0
	Once you check it with me and I give you a signature then youll get your homework for tonight and you can start on that early	0.0
	Does that sound good everyone	1.0
Yes	Okay	0.0
	Table partner	0.0
	Four	0.0
	Reuban thats your investigation for today and you get a signature from me and then your material and then you get your homework	0.0
	Lets stay focused please	0.0
T	Yes	1.0
Mister can you add zero weeks to	So start with a project as week zero and then in a week after that thats week one one week is passed	0.0
	Whats up Julianna	1.0
	This is week zero  how much money do they have	0.0
	Yes so sketch this situation until they run out of money	0.0
	Yes so the money on the yaxis and the weeks on the xaxis okay	0.0
	If you make it strategically you can just go by 12s so theyre going down by 12s	0.0
	Okay and then the graph will be super easy to make	0.0
	How are you men over here	1.0
Good	Okay	0.0
	Yes you got it correctly	0.0
	Nice shades River	0.0
Oh thank you	You didnt like that	0.0
	Yes	0.0
	How much money is in the account	5.0
	You should look just how you did it but your graph isnt decreasing because	0.0
	So Ill keep making your axis like this until you get to 144 thats zero weeks in	0.0
	Good question	0.0
	Yes sir	1.0
	Okay theres two important things that you need to think about how much money do they have at the start	0.0
Oh you already failed	using 12 every week	0.0
	Thats what you multiply by	0.0
	to be a straight line	0.0
	I would go for your weeks	0.0
	I would go each box	0.0
Wed be having most W12 because youre withdrawing 12 each week	Close	0.0
	12 each week is minus  minus 12W	0.0
	Guys we need to focus	0.0
Minus 12 times W	Yes but thats just loosing 12 per week	4.0
	That doesnt have anything to do with which best part	0.0
Its a crisis what happened	what else do we know about this task	5.0
Were using	What did they start with	5.0
	How can you put that in your equation	5.0
N144	And they use 12	0.0
Mine is 1200	How are we doing	1.0
	Good	1.0
	Okay	0.0
	How are you doing up here	1.0
Good	Okay	0.0
	Cool	0.0
	Here how are we doing	1.0
First I bring it	No	0.0
	Thats right	0.0
	Thats all the parts you need	0.0
	Money equals 144	0.0
	Thats for starting the month	0.0
	I would rather minus 12W	0.0
	Sure thats perfect	0.0
No you didnt	How are you doing	0.0
	How are you doing over here	1.0
	Theres something wrong with that equation	0.0
Its not a free	Oscar sorry you got to your limited questions today	0.0
Its that equation for	I want you to talk to Mike there about that one	0.0
How do I	Okay	0.0
	Youre close on the equation	0.0
Okay	Theres more stuff happening	0.0
	Theyre starting a month at 144 and then every week they loose 12 so youve got	0.0
Is this little thing straight	Oh I see that equation	0.0
I cant think	You need 12 minus you need loosing 12 per week	0.0
144 minus 12	Minus 12W	0.0
Oh all right	Thats three youre going to change your answers for this	1.0
This line	Okay  so which one let me see	0.0
	Do you have your calendar	0.0
	Let me see this line	1.0
	Are you talking about this one	1.0
	Thanks Leona	0.0
	I have no idea what youre talking about	0.0
	No wrong	0.0
	Thats December	0.0
I hardly played at all then I played into	Okay youre super close in the equation  I need you to close 14412W	0.0
	Right now you have 16 and 12 per week	0.0
	Okay	0.0
	Heres your homework and your calendar	0.0
	Okay Nameless Richard there you go buddy	0.0
	All right Robin you are super close	0.0
	All you need to add in is that they started  so its 14412W and you put 100 minus  sound good	1.0
	Do the same thing Louisa	0.0
	So 14412W  and equals	0.0
What	Other than that	0.0
Im so confused whats happening	Here you go	0.0
	Minus	0.0
Ive already minused this	Rodney	1.0
10	One more try Otis	0.0
	you going to grab homework	0.0
Thats how they listen to us	Youre close on these equations	0.0
	You need to have 144 as the starting amount and then	0.0
	Does that make sense	1.0
	So down here will be money equals 100 minus	0.0
	Put your name on here	0.0
to represent	Yes	0.0
It has stuff in case I need it	somebody share with us what you told me about equations	0.0
So that would be you put the  minus that number times	Which one the last equation	1.0
This involves	You made this one a little more complicated than you have to	0.0
decreases by 10 each	All Im going to say then is your equation down here to be the same exact equation that you have here	0.0
This is what we started with then minus 12 times W	Youre just changing this number and changing this number	0.0
it increases by 12 minusing that and then thats that	Judith you know how to start right	1.0
	multiply one variable to the others	0.0
	Good	0.0
	Does that make sense	1.0
	Promise	1.0
	Does that make sense Rodney	1.0
	Look at the table	0.0
	Cant see the first number	0.0
	One more step here	0.0
	The thing about  you can draw this arrow means multiplying by the same number for all of this	0.0
Mr G does this	different numbers that means its not proportional	0.0
	Proportional that happens when its a straight line that	0.0
	Yes Oscar	1.0
	The camera or the like	0.0
I did it right	Yes	0.0
	Grab	0.0
It says battery low	Ive got to plug in the	0.0
I dont know why  It looks like a fish	Okay we can end it	0.0
	Okay Im going to put this here	0.0
	You guys dont need to touch that okay	0.0
	Im going to put this one here	0.0
	Dont touch it	0.0
I wont touch it	Ill put this one here	0.0
	You guys dont need to touch that	0.0
	Voices off in three two one and zero	0.0
	Welcome everybody	0.0
	A couple of things to get started for today	0.0
	Please have your homework and calendar on your desk	0.0
	Your homework from yesterday	0.0
	The back page of the pink sheet from yesterday is your warmup for today	0.0
	Theres four questions and theres a little extra to do beside it but what its reSSy asking is of those four which ones are linear and which ones are not linear	0.0
	Im going to be walking around doing stamps	0.0
	Were you not here yesterday	0.0
	SS right Im doing stamps right now	0.0
	Anybody have a lot of energy today	0.0
	I need you to run this to the office for me	0.0
	Were going to stay focused here people	0.0
	SS right so we have a couple of goals for today	0.0
	Number 1 is were going to talk about this warmup	0.0
	Number 2 were going to talk about the homework	0.0
	It takes a little bit of time to talk about the warmup and the homework so be ready for that today	0.0
	Number 3 youre going to start working on the investigation today and then the way its going to work when youre done with the investigation check it with me Ill give you a signature and talk about anything you need to talk about for your work and then you get started on your homework a little bit early today at the end of class	0.0
	Does that sound good everyone	0.0
worksheet	It is yes	0.0
	Okay joke of the day is everyone ready	0.0
	What do you cSS an elephant that doesnt matter	0.0
I dont know Mr G what	An irrelephant	0.0
	Okay	0.0
	Linear or not linear Im going to show you two different ways for each of these problems	0.0
	I copied and pasted some grids in so you could see it in a different way	0.0
	I saw some people made their own graph which is a great way to think about these	0.0
	Its not the only way to think about it but Im going to show you two different ways for each one	0.0
	First of SS for Leroys walking rate a graph might look like this	0.0
	This would be the Xaxis this would be the Yaxis this would be time and this would be distance	0.0
	This would be  this would be   and then	0.0
